Track Id,Artist,Title,Year,Hotness,Duration,Album Name,Album ID
TRAAAAW128F429D538,Casual,I Didn't Mean To,0,0.6021199899057548,218.93179,Fear Itself,300848
TRAAABD128F429CF47,The Box Tops,Soul Deep,1969,nan,148.03546,Dimensions,300822
TRAAADZ128F9348C2E,Sonora Santanera,Amor De Cabaret,0,nan,177.47546,Las Numero 1 De La Sonora Santanera,514953
TRAAAEF128F4273421,Adam Ant,Something Girls,1982,nan,233.40363,Friend Or Foe,287650
TRAAAFD128F92F423A,Gob,Face the Ashes,2007,0.6045007385888197,209.60608,Muertos Vivos,611336
TRAAAMO128F1481E7F,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),0,nan,267.7024,Ordinary Day,41838
TRAAAMQ128F1460CD3,Rated R,Keepin It Real (Skit),0,nan,114.78159,Da Ghetto Psychic,25824
TRAAAPK128E0786D96,Tweeterfriendly Music,Drop of Rain,0,nan,189.57016,Gin & Phonic,8876
TRAAARJ128F9320760,Planet P Project,Pink World,1984,0.26586104921065007,269.81832,Pink World,358182
TRAAAVG12903CFA543,Clp,Insatiable (Instrumental Version),0,nan,266.39628,Superinstrumental,692313
TRAAAVO128F93133D4,JennyAnyKind,Young Boy Blues,0,0.0,218.77506,I Need You,539081
TRAABCL128F4286650,Wayne Watson,The Urgency (LP Version),0,0.26586104921065007,245.21098,The Way Home,163874
TRAABDL12903CAABBA,Andy Andy,La Culpa,0,0.0,226.35057,Placer & Castigo,575792
TRAABJL12903CDCF1A,Bob Azzam,Auguri Cha Cha,0,0.0,191.84281,Arrivederci,815863
TRAABJV128F1460C49,Lionel Richie,Tonight Will Be Alright,1986,nan,307.3824,Dancing On The Ceiling,25811
TRAABLR128F423B7E3,Blue Rodeo,Floating,1987,0.4051157216913865,491.12771,Outskirts,135122
TRAABNV128F425CEE1,Richard Souther,High Tide,0,0.3347065490692206,228.5971,Cross Currents,149958
TRAABRB128F9306DD5,Faiz Ali Faiz,Sohna Nee Sohna Data,0,nan,599.24853,Panjtan Ka Ghulam,535188
TRAABVM128F92CA9DC,Tesla,Caught In A Dream,2004,0.6841361912294903,290.29832,Gold,372309
TRAABXG128F9318EBD,lextrical,Synthetic Dream,0,0.0,165.69424,Whatever Happened To Boredom?,541101
